timestamp,message
1758138812253,"SubQuery_1_query_registered"
1758138979584,"SubQuery_1_query_registered"
1758139010323,"RStream result generated: 3.6924853 at timestamp: 1758139010323"
1758139010323,"Filtered out result due to timing: 3.6924853"
1758139040436,"RStream result generated: 3.6924853 at timestamp: 1758139040436"
1758139040436,"Processing valid result: 3.6924853"
1758139040436,"Generated aggregation event for result: 3.6924853"
1758139040438,"Successfully published result: 3.6924853"
1758139070006,"RStream result generated: 3.6924853 at timestamp: 1758139070006"
1758139070006,"Filtered out result due to timing: 3.6924853"
1758139584974,"SubQuery_1_query_registered"
1758139615464,"RStream result generated: 3.6924853 at timestamp: 1758139615464"
1758139615464,"Filtered out result due to timing: 3.6924853"
1758139645739,"RStream result generated: 3.6924853 at timestamp: 1758139645739"
1758139645739,"Processing valid result: 3.6924853"
1758139645739,"Generated aggregation event for result: 3.6924853"
1758139645748,"Successfully published result: 3.6924853"
1758139787038,"SubQuery_1_query_registered"
1758139926443,"SubQuery_1_query_registered"
1758139956924,"RStream result generated: 3.6747422 at timestamp: 1758139956924"
1758139956924,"Filtered out result due to timing: 3.6747422"
1758139986884,"RStream result generated: 3.6747422 at timestamp: 1758139986884"
1758139986884,"Processing valid result: 3.6747422"
1758139986885,"Generated aggregation event for result: 3.6747422"
1758139986886,"Successfully published result: 3.6747422"
1758139999580,"SubQuery_1_query_registered"
1758140029891,"RStream result generated: 3.6747422 at timestamp: 1758140029891"
1758140029891,"Filtered out result due to timing: 3.6747422"
1758140060054,"RStream result generated: 3.6747422 at timestamp: 1758140060054"
1758140060054,"Processing valid result: 3.6747422"
1758140060054,"Generated aggregation event for result: 3.6747422"
1758140060055,"Successfully published result: 3.6747422"
1758140072710,"SubQuery_1_query_registered"
1758140103034,"RStream result generated: 3.6747422 at timestamp: 1758140103034"
1758140103034,"Filtered out result due to timing: 3.6747422"
1758140133197,"RStream result generated: 3.6747422 at timestamp: 1758140133197"
1758140133197,"Processing valid result: 3.6747422"
1758140133197,"Generated aggregation event for result: 3.6747422"
1758140133198,"Successfully published result: 3.6747422"
1758140140841,"SubQuery_1_query_registered"
1758140171022,"RStream result generated: 3.6924853 at timestamp: 1758140171022"
1758140171022,"Filtered out result due to timing: 3.6924853"
1758140201285,"RStream result generated: 3.6924853 at timestamp: 1758140201285"
1758140201285,"Processing valid result: 3.6924853"
1758140201285,"Generated aggregation event for result: 3.6924853"
1758140201286,"Successfully published result: 3.6924853"
1758140214349,"SubQuery_1_query_registered"
1758140244573,"RStream result generated: 3.6924853 at timestamp: 1758140244573"
1758140244573,"Filtered out result due to timing: 3.6924853"
1758140274842,"RStream result generated: 3.6924853 at timestamp: 1758140274842"
1758140274842,"Processing valid result: 3.6924853"
1758140274842,"Generated aggregation event for result: 3.6924853"
1758140274844,"Successfully published result: 3.6924853"
1758140287647,"SubQuery_1_query_registered"
1758140317889,"RStream result generated: 3.6924853 at timestamp: 1758140317889"
1758140317889,"Filtered out result due to timing: 3.6924853"
1758140348147,"RStream result generated: 3.6924853 at timestamp: 1758140348147"
1758140348147,"Processing valid result: 3.6924853"
1758140348147,"Generated aggregation event for result: 3.6924853"
1758140348150,"Successfully published result: 3.6924853"
1758140356031,"SubQuery_1_query_registered"
1758140386337,"RStream result generated: 3.6924853 at timestamp: 1758140386337"
1758140386337,"Filtered out result due to timing: 3.6924853"
1758140417001,"RStream result generated: 3.6924853 at timestamp: 1758140417001"
1758140417001,"Processing valid result: 3.6924853"
1758140417001,"Generated aggregation event for result: 3.6924853"
1758140417002,"Successfully published result: 3.6924853"
1758140429506,"SubQuery_1_query_registered"
1758140470658,"RStream result generated: 3.6924853 at timestamp: 1758140470658"
1758140470658,"Filtered out result due to timing: 3.6924853"
1758140529721,"SubQuery_1_query_registered"
1758140604740,"SubQuery_1_query_registered"
1758140694675,"SubQuery_1_query_registered"
1758140793871,"SubQuery_1_query_registered"
1758140874236,"SubQuery_1_query_registered"
