timestamp,message
1758138812253,"SuperQuery_query_registered"
1758138979584,"SuperQuery_query_registered"
1758139040435,"RStream result generated: 3.6924853 at timestamp: 1758139040435"
1758139040435,"Processing valid result: 3.6924853"
1758139040436,"Generated aggregation event for result: 3.6924853"
1758139040437,"RStream result generated: 3.6924853 at timestamp: 1758139040437"
1758139040437,"Filtered out result due to timing: 3.6924853"
1758139040438,"Successfully published result: 3.6924853"
1758139584974,"SuperQuery_query_registered"
1758139645740,"RStream result generated: 3.6924853 at timestamp: 1758139645740"
1758139645740,"Processing valid result: 3.6924853"
1758139645740,"Generated aggregation event for result: 3.6924853"
1758139645740,"RStream result generated: 3.6924853 at timestamp: 1758139645740"
1758139645740,"Filtered out result due to timing: 3.6924853"
1758139645749,"Successfully published result: 3.6924853"
1758139787038,"SuperQuery_query_registered"
1758139926443,"SuperQuery_query_registered"
1758139986884,"RStream result generated: 3.6747422 at timestamp: 1758139986884"
1758139986884,"Processing valid result: 3.6747422"
1758139986884,"Generated aggregation event for result: 3.6747422"
1758139986885,"RStream result generated: 3.6747422 at timestamp: 1758139986885"
1758139986885,"Filtered out result due to timing: 3.6747422"
1758139986886,"Successfully published result: 3.6747422"
1758139999580,"SuperQuery_query_registered"
1758140060054,"RStream result generated: 3.6747422 at timestamp: 1758140060054"
1758140060054,"Processing valid result: 3.6747422"
1758140060054,"Generated aggregation event for result: 3.6747422"
1758140060055,"RStream result generated: 3.6747422 at timestamp: 1758140060055"
1758140060055,"Filtered out result due to timing: 3.6747422"
1758140060055,"Successfully published result: 3.6747422"
1758140072710,"SuperQuery_query_registered"
1758140133198,"RStream result generated: 3.6747422 at timestamp: 1758140133198"
1758140133198,"Processing valid result: 3.6747422"
1758140133198,"Generated aggregation event for result: 3.6747422"
1758140133198,"RStream result generated: 3.6747422 at timestamp: 1758140133198"
1758140133198,"Filtered out result due to timing: 3.6747422"
1758140133198,"Successfully published result: 3.6747422"
1758140140841,"SuperQuery_query_registered"
1758140201285,"RStream result generated: 3.6924853 at timestamp: 1758140201285"
1758140201285,"Processing valid result: 3.6924853"
1758140201285,"Generated aggregation event for result: 3.6924853"
1758140201286,"RStream result generated: 3.6924853 at timestamp: 1758140201286"
1758140201286,"Filtered out result due to timing: 3.6924853"
1758140201286,"Successfully published result: 3.6924853"
1758140214350,"SuperQuery_query_registered"
1758140274843,"RStream result generated: 3.6924853 at timestamp: 1758140274843"
1758140274843,"Processing valid result: 3.6924853"
1758140274843,"Generated aggregation event for result: 3.6924853"
1758140274844,"RStream result generated: 3.6924853 at timestamp: 1758140274844"
1758140274844,"Filtered out result due to timing: 3.6924853"
1758140274844,"Successfully published result: 3.6924853"
1758140287647,"SuperQuery_query_registered"
1758140348149,"RStream result generated: 3.6924853 at timestamp: 1758140348149"
1758140348149,"Processing valid result: 3.6924853"
1758140348149,"Generated aggregation event for result: 3.6924853"
1758140348149,"RStream result generated: 3.6924853 at timestamp: 1758140348149"
1758140348149,"Filtered out result due to timing: 3.6924853"
1758140348150,"Successfully published result: 3.6924853"
1758140356031,"SuperQuery_query_registered"
1758140417001,"RStream result generated: 3.6924853 at timestamp: 1758140417001"
1758140417001,"Processing valid result: 3.6924853"
1758140417001,"Generated aggregation event for result: 3.6924853"
1758140417002,"RStream result generated: 3.6924853 at timestamp: 1758140417002"
1758140417002,"Filtered out result due to timing: 3.6924853"
1758140417002,"Successfully published result: 3.6924853"
1758140429506,"SuperQuery_query_registered"
1758140529722,"SuperQuery_query_registered"
1758140604740,"SuperQuery_query_registered"
1758140694675,"SuperQuery_query_registered"
1758140793871,"SuperQuery_query_registered"
1758140874236,"SuperQuery_query_registered"
