iteration,registered_query_ts,first_result_ts,latency_ms,result_value,avg_cpu_percent,avg_heapUsedMB
1,1749839413570,1749839473983,60413,10.615819209039548,0.47,42.17
2,1749839597599,1749839657978,60379,10.616977225672876,0.48,42.63
3,1749839781717,1749839842086,60369,10.643518518518519,0.47,43.18
4,1749839965773,1749840026137,60364,10.6640625,0.47,43.50
5,1749840149907,1749840210444,60537,10.68452380952381,0.46,44.72
6,1749840334040,1749840364406,30366,10.691228070175438,0.47,44.63
7,1749840518157,1749840548519,30362,10.70886075949367,0.47,45.08
8,1749840702288,1749840732651,30363,10.751322751322752,0.48,45.68
9,1749840886413,1749840916775,30362,10.753623188405799,0.47,45.23
10,1749841070466,1749841100829,30363,10.733333333333333,0.47,46.80
11,1749858616919,1749858677303,60384,10.615541922290388,0.48,42.40
12,1749858801002,1749858861386,60384,10.637188208616777,0.49,42.39
13,1749858985051,1749859045432,60381,10.659033078880407,0.47,43.30
14,1749859169113,1749859229495,60382,10.684057971014491,0.47,44.06
15,1749859353254,1749859383619,30365,10.686868686868685,0.47,42.79
16,1749859537291,1749859567653,30362,10.70281124497992,0.47,44.74
17,1749859721397,1749859751756,30359,10.752525252525253,0.47,44.27
18,1749859905520,1749859935877,30357,10.74,0.48,45.91
19,1749860089627,1749860119984,30357,10.72549019607843,0.47,45.15
20,1749860273763,1749860304128,30365,10.72549019607843,0.44,46.71
21,1749860457817,1749860488179,30362,11,0.51,45.62
22,1749860641949,1749860702311,60362,11.355754857997008,0.47,42.15
23,1749864470223,1749864500614,30391,10.731182795698926,0.46,45.91
24,1749864654355,1749864684733,30378,10.688888888888888,0.45,45.17
25,1749864838410,1749864928770,90360,11.445850914205346,0.47,42.21
26,1749865022527,1749865082894,60367,11.315151515151515,0.47,43.02
27,1749865206627,1749865266992,60365,10.815359477124183,0.47,42.39
28,1749865390691,1749865451053,60362,10.609929078014186,0.47,42.40
29,1749865574728,1749865635089,60361,10.618217054263564,0.47,42.33
30,1749865758769,1749865819135,60366,10.623931623931623,0.48,42.75
31,1749865942836,1749866003197,60361,10.650000000000002,0.47,42.27
32,1749866126980,1749866187340,60360,10.674796747967479,0.47,44.43
33,1749866311051,1749866341416,30365,10.685358255451714,0.47,45.01
34,1749866495087,1749866525449,30362,10.688644688644686,0.47,43.71
35,1749866679178,1749866709541,30363,10.71111111111111,0.46,43.43
