timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1758126932423,225896,43179,139870208,59031552,33867896,32.30,4071262
1758126932523,226011,43234,139886592,59031552,33873040,32.30,4071318
1758126932625,226783,43357,139935744,59031552,33902192,32.33,4071318
1758126932726,226935,43447,139935744,59031552,33904496,32.33,4071318
1758126932826,227143,43494,139935744,59031552,33907136,32.34,4071318
1758126932928,227240,43518,139935744,59031552,33909408,32.34,4071318
1758126933029,227426,43558,139935744,59031552,33912016,32.34,4071318
1758126933130,227613,43608,139952128,59031552,33914416,32.34,4071318
1758126933231,227709,43649,139952128,59031552,33916688,32.35,4071318
1758126933331,229379,44142,140165120,59293696,34251928,32.67,4071318
1758126933433,229493,44197,140181504,59293696,34254296,32.67,4071318
1758126933533,229597,44266,140181504,59293696,34256392,32.67,4071318
1758126933634,229687,44296,140181504,59293696,34258408,32.67,4071318
1758126933736,229780,44338,140197888,59293696,34260424,32.67,4071318
1758126933837,229853,44369,140197888,59293696,34262440,32.68,4071318
1758126933938,229933,44399,140197888,59293696,34264456,32.68,4071318
1758126934039,230072,44431,140230656,59293696,34266504,32.68,4071318
1758126934140,230158,44463,140230656,59293696,34268520,32.68,4071318
1758126934241,230287,44632,140230656,59293696,34270536,32.68,4071318
1758126934341,233341,45773,140427264,59293696,34394280,32.80,4071318
1758126934442,233463,45827,140427264,59293696,34396296,32.80,4071318
1758126934542,233581,45905,123895808,59293696,34398312,32.80,4071318
1758126934644,233722,45984,117964800,59293696,34400328,32.81,4071318
1758126934744,233838,46040,117964800,59293696,34402344,32.81,4071318
1758126934845,233922,46081,117981184,59293696,34404360,32.81,4071318
1758126934945,234000,46119,117981184,59293696,34406376,32.81,4071318
1758126935046,234068,46149,117981184,59293696,34408392,32.81,4071318
1758126935147,234143,46212,117981184,59293696,34410408,32.82,4071318
1758126935248,234218,46262,117981184,59293696,34412424,32.82,4071318
1758126935349,236629,46865,118374400,59293696,34584408,32.98,4071318
1758126935450,236690,46906,117489664,59293696,34586424,32.98,4071318
1758126935551,236772,46950,117489664,59293696,34588440,32.99,4071318
1758126935652,236949,47013,117489664,59293696,34595024,32.99,4071318
1758126935753,237019,47046,117506048,59293696,34597040,32.99,4071318
1758126935854,237093,47090,117506048,59293696,34599056,33.00,4071318
1758126935954,237246,47126,117506048,59293696,34601848,33.00,4071318
1758126936055,237332,47165,117506048,59293696,34603832,33.00,4071318
1758126936156,237409,47223,117506048,59293696,34606280,33.00,4071318
1758126936257,237477,47261,113524736,59293696,34608312,33.01,4071318
1758126936357,238604,47797,83722240,59555840,35000672,33.38,4071318
1758126936458,238664,47848,69943296,59555840,35002696,33.38,4071318
1758126936559,238742,47892,69943296,59555840,35004720,33.38,4071318
1758126936660,238813,47923,69943296,59555840,35006744,33.39,4071318
1758126936761,238885,47962,69943296,59555840,35008768,33.39,4071318
1758126936861,238964,48001,69943296,59555840,35010792,33.39,4071318
1758126936962,239029,48032,69959680,59555840,35012816,33.39,4071318
1758126937063,239088,48062,69959680,59555840,35014840,33.39,4071318
1758126937165,239154,48095,69959680,59555840,35016864,33.39,4071318
1758126937266,239217,48129,69959680,59555840,35018888,33.40,4071318
1758126937366,240193,48638,70172672,59555840,35143960,33.52,4071318
1758126937467,240258,48674,70172672,59555840,35145984,33.52,4071318
1758126937568,240332,48713,70172672,59555840,35148008,33.52,4071318
1758126937669,240404,48739,70057984,59555840,35150032,33.52,4071318
1758126937770,240481,48783,70057984,59555840,35152056,33.52,4071318
