timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1756197433477,181.30,50.03,104415232,56934400,30677440,29.26,3090909
1756197433579,182.01,51.60,104611840,56934400,30692088,29.27,3090965
1756197433680,182.24,51.66,104611840,56934400,30694800,29.27,3090965
1756197433780,182.66,51.73,104628224,56934400,30697848,29.28,3090965
1756197433882,183.09,51.85,104628224,56934400,30701072,29.28,3090965
1756197433983,184.04,52.22,104349696,56934400,30714576,29.29,3090965
1756197434083,184.44,52.39,104349696,56934400,30717424,29.29,3090965
1756197434185,184.89,52.55,104349696,56934400,30720192,29.30,3090965
1756197434285,185.88,52.82,104349696,56934400,30731552,29.31,3090965
1756197434387,186.73,53.16,104382464,56934400,30742248,29.32,3090965
1756197434489,187.16,53.44,104398848,56934400,30745232,29.32,3090965
1756197434589,187.91,53.70,104398848,56934400,30755848,29.33,3090965
1756197434690,188.29,53.92,104398848,56934400,30758328,29.33,3090965
1756197434792,188.64,54.14,104398848,56934400,30760776,29.34,3090965
1756197434893,188.97,54.30,104398848,56934400,30763224,29.34,3090965
1756197434993,189.33,54.50,104415232,56934400,30765672,29.34,3090965
1756197435095,189.57,54.67,104415232,56934400,30768120,29.34,3090965
1756197435196,189.65,54.71,104415232,56934400,30770568,29.35,3090965
1756197435296,196.56,55.70,104890368,57458688,31603280,30.14,3092302
1756197435398,196.67,55.76,104890368,57458688,31605752,30.14,3092302
1756197435498,203.87,56.79,105349120,57458688,32086992,30.60,3093638
1756197435600,204.17,56.91,105349120,57458688,32089464,30.60,3093638
1756197435700,204.52,57.06,105349120,57458688,32091912,30.61,3093638
1756197435802,213.14,58.20,105857024,57458688,32590280,31.08,3094974
1756197435903,213.37,58.30,105857024,57458688,32592752,31.08,3094974
1756197436003,221.83,59.67,106758144,57720832,33054024,31.52,3104502
1756197436105,222.13,59.80,106758144,57720832,33056496,31.53,3104502
1756197436205,222.49,60.00,106774528,57720832,33058944,31.53,3104502
1756197436305,237.15,61.85,107741184,57720832,33673368,32.11,3105838
1756197436407,237.43,61.99,107741184,57720832,33675840,32.12,3105838
1756197436507,242.07,63.13,108167168,57720832,34091712,32.51,3107174
1756197436609,242.36,63.29,108167168,57720832,34094184,32.51,3107174
1756197436710,242.71,63.48,108167168,57720832,34096632,32.52,3107174
1756197436811,248.54,64.60,108576768,57720832,34510520,32.91,3108510
1756197436911,248.91,64.87,108593152,57720832,34512992,32.91,3108510
1756197437012,254.03,65.68,108969984,57720832,34922136,33.30,3118038
1756197437114,254.36,65.86,108969984,57720832,34924608,33.31,3118038
1756197437214,254.68,66.02,108969984,57720832,34927056,33.31,3118038
1756197437315,259.63,67.24,109510656,57982976,35341840,33.70,3119374
1756197437417,259.96,67.42,109510656,57982976,35344232,33.71,3119374
1756197437518,266.62,68.63,110739456,57982976,35764992,34.11,3120710
1756197437618,266.83,68.73,110739456,57982976,35767384,34.11,3120710
1756197437719,267.02,68.81,110739456,57982976,35769752,34.11,3120710
1756197437820,320.90,78.62,122322944,99401728,30346424,28.94,3099140
1756197437922,321.28,78.80,122322944,99401728,30349104,28.94,3099140
1756197438023,325.31,79.34,122322944,99401728,30779472,29.35,3108670
1756197438123,325.64,79.50,122322944,99401728,30781864,29.36,3108670
1756197438225,325.93,79.69,122322944,99401728,30784232,29.36,3108670
1756197438325,330.06,80.26,122322944,99401728,31181160,29.74,3110008
1756197438427,330.33,80.40,122322944,99401728,31183552,29.74,3110008
1756197438528,333.58,80.97,122322944,99401728,31575000,30.11,3111346
1756197438629,333.92,81.13,122322944,99401728,31577392,30.11,3111346
1756197438731,336.74,81.52,122322944,99401728,31776264,30.30,3112017
1756197438832,338.47,81.91,122322944,99401728,31975104,30.49,3112684
1756197438934,338.79,82.07,122322944,99401728,31977496,30.50,3112684
1756197439035,343.48,82.81,122322944,99401728,32372208,30.87,3122214
1756197439135,343.82,82.97,122322944,99401728,32374600,30.87,3122214
1756197439236,347.43,83.60,122322944,99401728,32764040,31.25,3123552
1756197439338,347.63,83.73,122322944,99401728,32766432,31.25,3123552
1756197439438,347.96,83.94,122322944,99401728,32768800,31.25,3123552
1756197439539,355.16,84.64,122552320,99401728,33169096,31.63,3124890
1756197439640,355.47,84.78,122552320,99401728,33171488,31.63,3124890
1756197439741,360.13,85.43,122617856,99401728,33567736,32.01,3126228
1756197439840,360.34,85.55,122617856,99401728,33570128,32.01,3126228
1756197439942,360.65,85.73,122617856,99401728,33572496,32.02,3126228
1756197440043,364.36,86.23,122617856,99401728,33962472,32.39,3135758
1756197440144,364.69,86.37,122617856,99401728,33964864,32.39,3135758
1756197440245,370.24,86.98,122634240,99401728,34369664,32.78,3137096
1756197440345,370.47,87.11,122634240,99401728,34371720,32.78,3137096
1756197440447,370.80,87.26,122634240,99401728,34373752,32.78,3137096
1756197440547,376.64,88.05,122650624,99401728,34794488,33.18,3138434
1756197440647,376.96,88.19,122650624,99401728,34796544,33.18,3138434
1756197440748,382.07,88.93,122716160,99663872,35185400,33.56,3139772
1756197440850,382.31,89.05,122716160,99663872,35187456,33.56,3139772
1756197440951,382.65,89.19,122716160,99663872,35189488,33.56,3139772
1756197441053,388.38,89.99,119357440,99663872,35593456,33.94,3149302
1756197441153,388.66,90.11,119357440,99663872,35595512,33.95,3149302
1756197441255,394.02,90.79,119521280,99663872,36004888,34.34,3150640
1756197441356,394.30,90.91,119521280,99663872,36006944,34.34,3150640
1756197441457,394.62,91.07,119521280,99663872,36008976,34.34,3150640
1756197441559,398.59,91.73,119226368,99663872,36390288,34.70,3151978
1756197441659,398.94,92.07,119226368,99663872,36392344,34.71,3151978
1756197441762,402.60,92.72,119095296,99663872,36773984,35.07,3153316
1756197441863,402.94,92.89,105152512,99663872,36776040,35.07,3153316
1756197441964,403.27,93.07,105152512,99663872,36778072,35.07,3153316
1756197442065,407.57,93.81,104759296,99663872,37162832,35.44,3162846
1756197442167,407.89,93.96,104759296,99663872,37164888,35.44,3162846
1756197442268,411.81,94.58,104759296,99663872,37547464,35.81,3164184
1756197442368,412.09,94.71,104759296,99663872,37549520,35.81,3164184
1756197442470,412.40,94.87,104759296,99663872,37551552,35.81,3164184
1756197442571,414.31,95.18,104759296,99663872,37929352,36.17,3165522
1756197442672,414.47,95.25,104759296,99663872,37931408,36.17,3165522
1756197442773,418.70,95.77,104759296,99663872,38317440,36.54,3166860
1756197442874,418.99,95.92,104759296,99663872,38319496,36.54,3166860
1756197442976,419.32,96.08,104169472,99663872,38321528,36.55,3166860
