iteration,registered_query_ts,first_result_ts,latency_ms,result_value,avg_cpu_percent,avg_heapUsedMB
1,1749910848838,1749910880221,31383,10.318181818181818,0.56,50.83
2,1749911091460,1749911124166,32706,10.909090909090908,0.74,53.43
3,1749926815356,1749926846216,30860,9.1875,0.45,47.41
4,1749912750782,1749912783753,32971,10.187725631768952,0.62,46.01
5,1749913005987,1749913038176,32189,10.75177304964539,0.62,46.42
6,1749913231136,1749913263555,32419,10.534375,0.61,45.11
7,1749927725761,1749927756693,30932,10.692883895131086,0.50,41.63
8,1749927961951,1749927992870,30919,10.685897435897436,0.51,42.24
9,1749913872709,1749913905013,32304,10.569060773480663,0.61,44.77
10,1749914127310,1749914159278,31968,10.142857142857143,0.58,47.13
11,1749914345437,1749914377583,32146,10.513011152416357,0.53,47.11
12,1749914792817,1749914827370,34553,11.196491228070176,0.48,45.92
13,1749915289656,1749915321352,31696,10.727272727272727,0.46,44.02
14,1749915603505,1749915636557,33052,10.522184300341298,0.47,44.93
15,1749915850958,1749915882842,31884,10.497536945812808,0.49,43.41
16,1749916149038,1749916180927,31889,10.502202643171806,0.49,44.13
17,1749916356082,1749916388714,32632,16.32686567164179,0.46,43.78
18,1749928538181,1749928569288,31107,10.708860759493671,0.50,43.11
19,1749920198943,1749920229842,30899,10.714912280701755,0.50,43.10
20,1749920705325,1749920736281,30956,10.692592592592593,0.43,41.78
21,1749921710818,1749921741669,30851,10.735632183908047,0.48,45.18
22,1749922846175,1749922877053,30878,10.75177304964539,0.49,45.20
23,1749923090185,1749923121057,30872,10.731182795698924,0.49,45.03
24,1749923501767,1749923532674,30907,10.753846153846155,0.49,43.37
25,1749923803773,1749923834695,30922,10.563953488372093,0.43,45.14
26,1749924345354,1749924376232,30878,10.52317880794702,0.48,44.66
27,1749924577793,1749924608713,30920,10.707818930041153,0.49,44.10
28,1749924782600,1749924813579,30979,10.686468646864686,1.58,47.71
29,1749928787328,1749928818192,30864,10.728682170542635,0.48,44.56
30,1749912502226,1749912533441,31215,10.72463768115942,0.59,45.26
31,1749927034472,1749927065407,30935,10.691489361702128,0.48,43.79
32,1749927235436,1749927266288,30852,9.612903225806452,0.44,46.94
33,1749927504071,1749927534930,30859,10.708333333333334,0.49,42.72
34,1749913434479,1749913466511,32032,9.85,0.67,48.67
35,1749913659399,1749913692098,32699,10.716216216216216,0.62,45.34
