timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1752590212173,401.55,55.52,126218240,60174336,29111152,27.76,4636693
1752590212273,413.63,58.66,95289344,60174336,29116072,27.77,4636749
1752590212374,413.90,58.66,95289344,60174336,29118368,27.77,4636749
1752590212475,415.14,58.74,95289344,60174336,29147416,27.80,4636749
1752590212576,416.40,58.74,95289344,60174336,29172416,27.82,4636749
1752590212678,416.95,58.74,95289344,60174336,29174664,27.82,4636749
1752590212779,417.73,58.74,95289344,60174336,29176912,27.83,4636749
1752590212880,418.84,58.84,95289344,60174336,29179160,27.83,4636749
1752590212982,419.94,58.99,95289344,60174336,29181408,27.83,4636749
1752590213083,422.13,59.02,95289344,60174336,29184248,27.83,4636749
1752590213184,422.75,59.96,95289344,60174336,29187608,27.84,4636749
1752590213284,422.75,60.63,95289344,60174336,29189680,27.84,4636749
1752590213384,422.86,60.98,95289344,60174336,29191672,27.84,4636749
1752590213485,423.48,61.07,95289344,60174336,29193664,27.84,4636749
1752590213585,424.03,61.15,95289344,60174336,29195656,27.84,4636749
1752590213686,424.50,61.22,95289344,60174336,29197648,27.85,4636749
1752590213787,425.02,61.29,95289344,60174336,29199672,27.85,4636749
1752590213888,425.27,61.33,95289344,60174336,29201664,27.85,4636749
1752590213988,425.27,61.64,95289344,60174336,29203656,27.85,4636749
1752590214088,425.27,62.03,95289344,60174336,29206160,27.85,4636749
1752590214187,436.33,62.19,95551488,60436480,29676432,28.30,4637417
1752590214288,438.30,63.19,95551488,60436480,29838776,28.46,4638092
1752590214389,438.58,63.27,95551488,60436480,29840792,28.46,4638092
1752590214489,447.31,64.04,95551488,60698624,30404160,29.00,4639435
1752590214589,447.74,64.11,95551488,60698624,30406200,29.00,4639435
1752590214690,451.94,65.14,95551488,60698624,30568208,29.15,4640103
1752590214790,456.38,66.35,95551488,60698624,30729616,29.31,4640778
1752590214890,456.97,66.35,95551488,60698624,30731632,29.31,4640778
1752590214990,467.03,67.15,95551488,60698624,31050680,29.61,4642121
1752590215090,467.03,67.76,95551488,60698624,31053208,29.61,4642121
1752590215190,471.65,70.95,95551488,60698624,31213608,29.77,4650980
1752590215291,479.21,71.03,95682560,60698624,31373520,29.92,4651655
1752590215391,479.84,71.03,95682560,60698624,31375560,29.92,4651655
1752590215492,488.01,71.03,95682560,60698624,31695952,30.23,4652998
1752590215593,488.40,71.06,95682560,60698624,31697968,30.23,4652998
1752590215693,492.27,71.06,95682560,60698624,31858344,30.38,4653665
1752590215794,497.08,71.15,95682560,60698624,32017824,30.53,4654340
1752590215895,498.52,71.22,95682560,60698624,32019888,30.54,4654340
1752590215995,505.01,72.29,95682560,60698624,32337672,30.84,4655682
1752590216095,505.46,72.29,95682560,60698624,32340216,30.84,4655682
1752590216196,508.54,72.29,95813632,60698624,32500656,31.00,4656350
1752590216297,510.46,72.35,95813632,60698624,32660480,31.15,4657025
1752590216399,511.48,72.49,95813632,60698624,32662512,31.15,4657025
1752590216499,516.38,72.49,95944704,60698624,32980544,31.45,4666560
1752590216601,516.48,73.35,95944704,60698624,32982600,31.45,4666560
1752590216701,519.11,74.16,95944704,60698624,33145416,31.61,4667229
1752590216801,521.74,76.96,96075776,60698624,33308648,31.77,4667905
1752590216902,522.07,77.01,96075776,60698624,33310704,31.77,4667905
1752590217003,529.64,77.01,96075776,60698624,33626992,32.07,4669250
1752590217103,533.71,77.96,96075776,60698624,33653392,32.09,4669250
1752590217203,535.36,78.05,96075776,60698624,33812864,32.25,4669919
1752590217303,537.85,78.98,96206848,60698624,33971776,32.40,4670595
1752590217403,538.30,78.98,96206848,60698624,33973832,32.40,4670595
1752590217503,544.65,80.80,96206848,60960768,34553584,32.95,4671940
1752590217603,545.33,80.80,96206848,60960768,34555696,32.95,4671940
1752590217704,549.90,80.84,96206848,60960768,34716080,33.11,4672609
1752590217805,552.53,80.93,96206848,60960768,34875168,33.26,4681477
1752590217906,552.99,81.00,96206848,60960768,34877200,33.26,4681477
1752590218006,564.12,83.87,96600064,60960768,35193632,33.56,4682822
1752590218106,564.58,83.87,96600064,60960768,35195688,33.57,4682822
1752590218206,568.80,83.87,96731136,60960768,35355128,33.72,4683491
1752590218306,573.45,84.77,96862208,60960768,35514832,33.87,4684167
1752590218407,573.69,84.81,96862208,60960768,35516888,33.87,4684167
1752590218507,593.88,84.84,97255424,60960768,35834088,34.17,4685512
1752590218608,594.25,84.89,97255424,60960768,35836144,34.18,4685512
1752590218709,605.67,85.81,97779712,61222912,36028352,34.36,4686181
1752590218809,613.93,87.85,98304000,61222912,36186296,34.51,4686857
1752590218909,613.93,88.39,98304000,61222912,36188352,34.51,4686857
1752590219009,621.78,90.68,98566144,61222912,36499256,34.81,4688202
1752590219109,622.25,90.74,98566144,61222912,36501536,34.81,4696394
1752590219210,632.01,90.86,98828288,61222912,36658480,34.96,4697063
1752590219310,660.65,92.81,99221504,61222912,36817000,35.11,4697739
1752590219411,661.55,92.81,99221504,61222912,36819056,35.11,4697739
1752590219511,670.22,93.75,99614720,61222912,37140592,35.42,4699084
1752590219612,670.68,93.75,99614720,61222912,37142648,35.42,4699084
1752590219712,674.73,94.68,99745792,61222912,37299600,35.57,4699753
1752590219812,678.50,94.79,99876864,61222912,37455776,35.72,4700429
1752590219913,679.02,94.86,99876864,61222912,37457832,35.72,4700429
1752590220013,685.15,95.88,100139008,61222912,37769160,36.02,4701774
1752590220113,685.67,95.95,100139008,61222912,37771224,36.02,4701774
1752590220605,1326.13,167.27,118685696,78897152,44315312,42.26,4708610
1752590220705,1427.46,168.41,119209984,79159296,50774784,48.42,4736823
1752590220805,1457.56,171.30,120782848,79159296,53166040,50.70,4740217
1752590220906,1457.92,171.34,120782848,79159296,53168080,50.71,4740217
1752590221006,1473.62,175.19,121176064,79159296,53746720,51.26,4741562
1752590221106,1473.62,175.50,121176064,79159296,53748704,51.26,4741562
1752590221206,1473.62,175.85,121176064,79159296,53750632,51.26,4741562
1752590221307,1480.70,178.08,121700352,79159296,54135544,51.63,4742907
1752590221407,1481.05,178.13,121700352,79159296,54137528,51.63,4742907
1752590221508,1491.14,178.13,122093568,79159296,54523272,52.00,4744252
1752590221608,1491.52,178.18,122093568,79159296,54525256,52.00,4744252
1752590221708,1491.85,178.22,122093568,79159296,54527184,52.00,4744252
1752590221809,1496.30,178.22,122355712,79159296,54911952,52.37,4745597
1752590221910,1496.85,178.22,122355712,79159296,54913936,52.37,4745597
1752590222009,1505.05,179.24,122748928,79159296,55293984,52.73,4755134
1752590222110,1505.63,179.31,122748928,79159296,55295968,52.73,4755134
1752590222211,1506.10,179.37,122748928,79159296,55297896,52.74,4755134
1752590222312,1517.77,179.45,123142144,79159296,55672368,53.09,4756479
1752590222412,1517.77,180.04,123142144,79159296,55674352,53.10,4756479
1752590222524,1523.86,181.34,123535360,79159296,56048960,53.45,4757824
1752590222624,1524.18,181.38,123535360,79159296,56050944,53.45,4757824
1752590222725,1528.11,181.49,123666432,79159296,56239352,53.63,4758493
1752590222825,1538.91,182.46,124059648,79159296,56430160,53.82,4759169
1752590222927,1539.74,182.56,124059648,79159296,56432144,53.82,4759169
1752590223028,1549.96,183.59,124321792,79159296,56806768,54.18,4760514
1752590223128,1549.96,184.52,124321792,79159296,56808752,54.18,4760514
1752590223228,1552.16,185.62,124583936,79159296,56997240,54.36,4761183
1752590223328,1556.20,185.62,124715008,79159296,57185672,54.54,4770051
1752590223428,1557.29,185.63,124715008,79159296,57187656,54.54,4770051
1752590223529,1573.57,186.78,125108224,79159296,57563064,54.90,4771396
1752590223630,1574.22,186.86,125108224,79159296,57565048,54.90,4771396
1752590223731,1577.98,187.83,125370368,79159296,57753424,55.08,4772065
1752590223832,1586.96,187.83,125501440,79159296,57941528,55.26,4772741
1752590223933,1587.78,187.92,125501440,79159296,57943512,55.26,4772741
1752590224033,1601.83,189.93,125894656,79159296,58318664,55.62,4774086
1752590224133,1602.13,189.96,125894656,79159296,58320648,55.62,4774086
1752590224234,1608.78,190.04,126025728,79159296,58509048,55.80,4774755
1752590224334,1619.49,191.89,126287872,79159296,58702304,55.98,4775431
1752590224435,1619.90,191.94,126287872,79159296,58704320,55.98,4775431
1752590224536,1627.90,192.94,126681088,79159296,59090032,56.35,4784967
1752590224636,1628.13,192.96,126681088,79159296,59092048,56.35,4784967
1752590224738,1632.32,193.99,126943232,79159296,59287536,56.54,4785636
1752590224839,1635.18,193.99,127074304,79159296,59481672,56.73,4786312
1752590224939,1635.18,194.50,127074304,79159296,59483696,56.73,4786312
1752590225038,1641.97,194.83,127467520,79159296,59870040,57.10,4787657
1752590225139,1642.28,194.86,127467520,79159296,59872048,57.10,4787657
1752590225242,1648.05,195.07,127729664,79159296,60066208,57.28,4788326
1752590225342,1660.19,196.09,128778240,80470016,46910032,44.74,4789002
1752590225443,1660.53,196.13,128778240,80470016,46912040,44.74,4789002
1752590225543,1670.34,197.22,128778240,80470016,47291528,45.10,4737082
1752590225644,1670.90,197.28,128778240,80470016,47293480,45.10,4737082
1752590225744,1673.69,198.27,128778240,80470016,47481936,45.28,4737751
1752590225844,1680.64,198.27,128778240,80470016,47670048,45.46,4746619
1752590225944,1680.66,199.14,128778240,80470016,47672000,45.46,4746619
1752590226044,1690.20,200.09,128778240,80470016,48046448,45.82,4747964
1752590430693,402.07,46.89,125366272,60698624,29178208,27.83,4636693
1752590430793,410.49,49.94,101187584,60698624,29183128,27.83,4636749
1752590430894,412.24,50.03,101187584,60698624,29211432,27.86,4636749
1752590430995,412.70,50.09,101187584,60698624,29213712,27.86,4636749
1752590431095,415.48,50.18,101187584,60698624,29239096,27.88,4636749
1752590431196,415.93,50.23,101187584,60698624,29241344,27.89,4636749
1752590431297,416.52,50.30,101187584,60698624,29243720,27.89,4636749
1752590431399,417.23,50.39,101187584,60698624,29245992,27.89,4636749
1752590431499,417.76,50.45,101187584,60698624,29248240,27.89,4636749
1752590431600,418.50,50.54,101187584,60698624,29250552,27.90,4636749
1752590431701,419.62,50.56,101187584,60698624,29253912,27.90,4636749
1752590431801,420.15,50.56,101187584,60698624,29256016,27.90,4636749
1752590431901,420.83,50.56,101187584,60698624,29258008,27.90,4636749
1752590432001,421.57,50.56,101187584,60698624,29260144,27.90,4636749
1752590432102,421.87,50.58,101187584,60698624,29262136,27.91,4636749
1752590432203,421.87,51.20,101187584,60698624,29264128,27.91,4636749
1752590432304,421.87,51.59,101187584,60698624,29266120,27.91,4636749
1752590432405,422.25,51.64,101187584,60698624,29268144,27.91,4636749
1752590432506,422.47,51.67,101187584,60698624,29270136,27.91,4636749
1752590432606,422.72,51.70,101187584,60698624,29272128,27.92,4636749
1752590432706,437.40,51.70,101318656,60698624,29473752,28.11,4637417
1752590432806,440.38,52.40,101449728,60698624,29636088,28.26,4638092
1752590432905,440.67,52.44,101449728,60698624,29638136,28.27,4638092
1752590433006,447.06,53.48,101580800,61222912,30469616,29.06,4639435
1752590433107,447.47,53.48,101580800,61222912,30471688,29.06,4639435
1752590433209,454.53,53.53,101580800,61485056,30666456,29.25,4640103
1752590433310,459.96,53.58,101580800,61485056,30827896,29.40,4640778
1752590433410,460.04,54.48,101580800,61485056,30829912,29.40,4640778
1752590433510,469.64,55.66,101580800,61485056,31149000,29.71,4642121
1752590433610,470.43,55.66,101580800,61485056,31151016,29.71,4642121
1752590433711,476.02,55.66,101711872,61485056,31311952,29.86,4650980
1752590433811,478.75,57.57,101711872,61485056,31471896,30.01,4651655
1752590433911,479.08,57.57,101711872,61485056,31473912,30.02,4651655
1752590434011,485.42,57.57,101842944,61485056,31794224,30.32,4652998
1752590434111,485.42,58.05,101842944,61485056,31796272,30.32,4652998
1752590434211,488.24,59.39,101842944,61485056,31956632,30.48,4653665
1752590434312,492.74,59.45,101974016,61485056,32116136,30.63,4654340
1752590434414,493.40,59.53,101974016,61485056,32118232,30.63,4654340
1752590434514,499.64,61.45,101974016,61485056,32435984,30.93,4655682
1752590434615,499.94,62.49,101974016,61485056,32438368,30.94,4655682
1752590434714,504.47,62.49,101974016,61485056,32598728,31.09,4656350
1752590434815,508.18,62.51,101974016,61485056,32758528,31.24,4657025
1752590434916,508.66,62.57,101974016,61485056,32760560,31.24,4657025
1752590435019,513.39,65.56,101974016,61485056,33078616,31.55,4666560
1752590435119,513.76,65.61,101974016,61485056,33080648,31.55,4666560
1752590435220,518.03,66.65,101974016,61485056,33243496,31.70,4667229
1752590435321,524.21,66.66,101974016,61485056,33406712,31.86,4667905
1752590435423,524.69,66.72,101974016,61485056,33408744,31.86,4667905
1752590435523,533.46,67.44,101974016,61485056,33725040,32.16,4669250
1752590435624,535.83,70.37,102105088,61485056,33751440,32.19,4669250
1752590435724,542.16,70.41,102105088,61485056,33910952,32.34,4669919
1752590435824,548.29,71.30,102105088,61485056,34069864,32.49,4670595
1752590435926,550.59,71.33,102105088,61485056,34075168,32.50,4670595
1752590436026,562.90,71.44,102105088,61485056,34421536,32.83,4671940
1752590436127,563.96,71.44,102105088,61485056,34423568,32.83,4671940
1752590436228,571.61,71.44,102105088,61485056,34583952,32.98,4672609
1752590436328,576.15,71.44,102105088,61485056,34743056,33.13,4681477
1752590436429,576.53,71.44,102105088,61485056,34745088,33.14,4681477
1752590436529,585.96,72.49,102236160,61485056,35061592,33.44,4682822
1752590436628,586.49,72.49,102236160,61485056,35063656,33.44,4682822
1752590436729,590.35,72.53,102367232,61485056,35223104,33.59,4683491
1752590436829,596.82,74.35,102498304,61485056,35382816,33.74,4684167
1752590436929,596.82,74.77,102498304,61485056,35384880,33.75,4684167
1752590437029,610.74,76.47,102891520,61485056,35926944,34.26,4685512
1752590437130,611.36,76.55,102891520,61485056,35929008,34.26,4685512
1752590437230,628.23,77.65,103153664,61485056,36090096,34.42,4686181
1752590437330,632.30,77.65,103284736,61485056,36246360,34.57,4686857
1752590437430,633.18,77.65,103284736,61485056,36248424,34.57,4686857
1752590437531,641.48,79.81,103546880,61485056,36559384,34.87,4688202
1752590437631,642.88,79.81,103546880,61485056,36561672,34.87,4696394
1752590437732,666.86,79.81,103809024,61485056,36720224,35.02,4697063
1752590437832,686.77,81.57,104071168,61485056,36877144,35.17,4697739
1752590437933,687.35,81.64,104071168,61485056,36879208,35.17,4697739
1752590438034,700.30,81.64,104333312,61485056,37200720,35.48,4699084
1752590438134,700.73,81.71,104333312,61485056,37202784,35.48,4699084
1752590587849,565.63,125.58,102506496,60174336,29066728,27.72,4636693
1752590587948,647.35,142.30,124526592,60174336,29071200,27.72,4636749
1752590588049,667.34,145.51,97607680,60174336,29073952,27.73,4636749
1752590588150,667.34,145.90,97607680,60174336,29076256,27.73,4636749
1752590588250,667.34,146.26,97607680,60174336,29078536,27.73,4636749
1752590588350,667.34,147.22,97607680,60174336,29085208,27.74,4636749
1752590588450,668.71,147.22,97607680,60174336,29109544,27.76,4636749
1752590588554,669.23,147.22,97607680,60174336,29111792,27.76,4636749
1752590588655,669.90,147.22,97607680,60174336,29114168,27.77,4636749
1752590588756,672.56,147.22,97607680,60174336,29138736,27.79,4636749
1752590588856,673.44,147.22,97607680,60174336,29142096,27.79,4636749
1752590588956,673.90,147.22,97607680,60174336,29144200,27.79,4636749
1752590589056,674.52,147.22,97738752,60174336,29146560,27.80,4636749
1752590589156,674.91,147.22,97738752,60174336,29148576,27.80,4636749
1752590589256,675.24,147.22,97738752,60174336,29150568,27.80,4636749
1752590589356,675.55,147.22,97738752,60174336,29152560,27.80,4636749
1752590589457,675.88,147.22,97738752,60174336,29154552,27.80,4636749
1752590589558,676.54,147.22,97738752,60174336,29156576,27.81,4636749
1752590589658,677.39,147.22,97738752,60174336,29158568,27.81,4636749
1752590589758,694.04,147.22,97869824,60436480,29624440,28.25,4637417
1752590589859,700.70,147.22,98000896,60436480,29787240,28.41,4638092
1752590589960,701.72,147.22,98000896,60436480,29789280,28.41,4638092
1752590590062,714.55,147.22,98000896,60436480,30115320,28.72,4639435
1752590590163,715.85,147.22,98000896,60436480,30117336,28.72,4639435
1752590590264,720.22,147.22,98000896,60698624,30523224,29.11,4640103
1752590590366,723.68,147.22,98000896,60698624,30684648,29.26,4640778
1752590590466,724.61,147.22,98000896,60698624,30686664,29.27,4640778
1752590590567,731.19,147.22,98131968,60698624,31005936,29.57,4650313
1752590590668,731.64,147.22,98131968,60698624,31007976,29.57,4650313
1752590590769,735.45,148.09,98263040,60698624,31168160,29.72,4650980
1752590590870,739.78,148.16,98263040,60698624,31328552,29.88,4651655
1752590590970,740.25,148.16,98263040,60698624,31330568,29.88,4651655
1752590591071,744.77,148.16,98263040,60698624,31650856,30.18,4652998
1752590591171,745.17,148.16,98263040,60698624,31652872,30.19,4652998
1752590591272,747.25,148.25,98263040,60698624,31813216,30.34,4653665
1752590591373,749.09,148.41,98263040,60698624,31972760,30.49,4654340
1752590591474,749.45,148.41,98263040,60698624,31974744,30.49,4654340
1752590591574,754.23,148.44,98263040,60698624,32292640,30.80,4655682
1752590591676,755.35,148.46,98263040,60698624,32294672,30.80,4655682
1752590591776,758.42,148.47,98263040,60960768,32487776,30.98,4656350
1752590591876,763.54,148.47,98263040,60960768,32648336,31.14,4665217
1752590591976,764.26,148.47,98263040,60960768,32650368,31.14,4665217
1752590592076,769.60,149.73,98263040,60960768,32968352,31.44,4666560
1752590592178,770.10,149.82,98263040,60960768,32970384,31.44,4666560
1752590592278,773.20,149.84,98263040,60960768,33133192,31.60,4667229
1752590592379,777.57,151.91,98263040,60960768,33296512,31.75,4667905
1752590592479,777.95,151.99,98263040,60960768,33298544,31.76,4667905
1752590592581,784.76,152.95,98263040,60960768,33614920,32.06,4669250
1752590592681,785.27,153.05,98263040,60960768,33616952,32.06,4669250
1752590592782,786.44,154.09,98263040,60960768,33776416,32.21,4669919
1752590592883,789.49,155.70,98263040,60960768,34185656,32.60,4670595
1752590592983,789.75,155.75,98263040,60960768,34187688,32.60,4670595
1752590593083,795.04,156.42,98263040,60960768,34504064,32.91,4671940
1752590593183,795.40,156.49,98263040,60960768,34506320,32.91,4680132
1752590593284,800.66,156.54,98263040,60960768,34666728,33.06,4680801
1752590593385,804.17,156.64,98263040,60960768,34830376,33.22,4681477
1752590593486,804.17,157.01,98263040,60960768,34832408,33.22,4681477
1752590593596,811.25,157.85,98525184,60960768,35148840,33.52,4682822
1752590593703,811.99,158.00,98525184,60960768,35150952,33.52,4682822
1752590593806,816.01,160.80,98787328,60960768,35467984,33.82,4684167
1752590593906,816.31,160.80,98787328,60960768,35470040,33.83,4684167
1752590594006,820.73,162.75,99049472,60960768,35629656,33.98,4684836
1752590594106,830.60,164.52,99180544,60960768,35789216,34.13,4685512
1752590594208,831.02,164.61,99180544,60960768,35791272,34.13,4685512
1752590594308,846.78,164.76,99442688,60960768,36106584,34.43,4686857
1752590594408,847.62,164.76,99442688,60960768,36108640,34.44,4686857
1752590594509,849.12,165.87,99573760,60960768,36265624,34.59,4695718
1752590594609,851.26,166.66,99835904,60960768,36421816,34.73,4696394
1752590594710,851.77,166.76,99835904,60960768,36423872,34.74,4696394
1752590594811,867.64,167.93,100622336,60960768,36736856,35.03,4697739
1752590594911,868.18,168.03,100622336,60960768,36738920,35.04,4697739
1752590595012,870.63,168.12,100753408,60960768,36900824,35.19,4698408
1752590595113,877.05,168.20,100884480,60960768,37062528,35.35,4699084
1752590595212,877.05,168.64,100884480,60960768,37064592,35.35,4699084
1752590595313,881.47,169.09,101277696,60960768,37375704,35.64,4700429
1752590595413,881.77,169.15,101277696,60960768,37377768,35.65,4700429
1752590595514,884.31,169.25,101408768,60960768,37534504,35.80,4701098
1752590595614,886.08,169.25,101670912,60960768,37690736,35.94,4701774
1752590595715,886.08,169.62,101670912,60960768,37692800,35.95,4701774
1752590595815,890.65,170.12,102064128,60960768,38003888,36.24,4711311
1752590595915,891.05,170.20,102064128,60960768,38006120,36.25,4711311
1752590596014,893.19,171.03,102195200,60960768,38162880,36.39,4711980
1752590596115,895.39,171.07,102326272,60960768,38319072,36.54,4712656
1752590596215,895.39,171.41,102326272,60960768,38321136,36.55,4712656
1752590596315,906.19,172.85,102981632,60960768,38633856,36.84,4714001
1752590596416,906.67,172.94,102981632,60960768,38635920,36.85,4714001
1752590596516,910.48,172.94,103243776,60960768,38792704,37.00,4714670
1752590596616,914.43,172.94,103374848,60960768,38947960,37.14,4715346
1752590596716,914.43,173.28,103374848,60960768,38949992,37.15,4715346
1752590596822,917.61,175.93,103768064,60960768,39255584,37.44,4716691
1752590596922,917.86,175.97,103768064,60960768,39257616,37.44,4716691
1752590597022,919.53,175.97,104030208,60960768,39411704,37.59,4717360
1752590597123,921.32,176.06,104161280,60960768,39565456,37.73,4726228
1752590597224,921.62,176.15,104161280,60960768,39567488,37.73,4726228
1752590597323,925.01,178.00,104423424,60960768,39868408,38.02,4727573
1752590597424,925.29,178.06,104423424,60960768,39870392,38.02,4727573
1752590597524,926.69,178.94,104554496,60960768,40019408,38.17,4728242
1752590597626,930.17,178.94,104685568,60960768,40167944,38.31,4728918
1752590597726,930.51,178.94,104685568,60960768,40169928,38.31,4728918
1752590597827,937.52,178.94,104947712,60960768,40471112,38.60,4730263
1752590597927,937.85,178.97,104947712,60960768,40473096,38.60,4730263
1752590598028,939.47,179.09,105078784,60960768,40621600,38.74,4730932
1752590598129,941.20,179.23,105209856,60960768,40769552,38.88,4731608
1752590598230,941.45,179.28,105209856,60960768,40771536,38.88,4731608
1752590598331,943.60,180.31,105472000,60960768,41064856,39.16,4732953
1752590598432,943.88,180.36,105472000,60960768,41067064,39.16,4741145
1752590598532,945.61,180.36,105603072,60960768,41215376,39.31,4741814
1752590598633,947.65,180.36,105734144,60960768,41362744,39.45,4742490
1752590598733,947.98,180.38,105734144,60960768,41364728,39.45,4742490
1752590598834,954.20,180.38,105996288,60960768,41662256,39.73,4743835
1752590598934,954.50,180.38,105996288,60960768,41664240,39.73,4743835
1752590599034,966.01,180.38,107962368,60960768,41812472,39.88,4744504
1752590599137,995.71,182.13,105418752,61222912,42216032,40.26,4745180
1752590599237,996.22,182.22,105418752,61222912,42218040,40.26,4745180
1752590599337,998.94,184.17,105680896,61222912,42505320,40.54,4746525
1752590599438,999.22,184.22,105680896,61222912,42507304,40.54,4746525
1752590599538,1001.22,184.22,105811968,61222912,42652176,40.68,4747194
1752590599638,1003.26,184.23,105943040,61222912,42796872,40.81,4747870
1752590599738,1003.52,184.28,105943040,61222912,42798856,40.82,4747870
1752590599839,1007.47,184.28,106205184,61222912,43086312,41.09,4757407
1752590599939,1007.47,184.65,106336256,61222912,43088296,41.09,4757407
1752590600038,1021.27,185.05,107515904,61222912,43233184,41.23,4758075
1752590600139,1039.78,186.32,110006272,63057920,30643760,29.22,4758751
1752590600240,1040.09,186.37,110006272,63057920,30645768,29.23,4758751
1752590600340,1048.24,186.40,110792704,63057920,30953320,29.52,4643640
1752590600440,1048.55,186.40,110792704,63057920,30955304,29.52,4643640
1752590600540,1050.48,186.44,110792704,63057920,31099456,29.66,4644309
1752590600641,1051.98,186.52,110792704,63057920,31242944,29.80,4644985
1752590600742,1053.05,186.54,110792704,63057920,31244896,29.80,4644985
1752590600842,1059.97,186.54,110792704,63320064,31776904,30.30,4646330
1752590600943,1061.16,186.54,110792704,63320064,31778880,30.31,4646330
1752590601043,1064.13,186.54,110923776,63320064,31923376,30.44,4646996
1752590601143,1064.46,188.26,110923776,63320064,32067120,30.58,4655864
1752590601243,1064.81,188.32,110923776,63320064,32069072,30.58,4655864
1752590601344,1069.86,189.33,111185920,63320064,32354912,30.86,4657209
1752590601444,1070.15,189.38,111185920,63320064,32356896,30.86,4657209
1752590601545,1071.07,190.19,111185920,63320064,32500984,31.00,4657878
1752590601646,1072.19,191.03,111185920,63320064,32644456,31.13,4658554
1752590601746,1072.74,191.13,111185920,63320064,32646408,31.13,4658554
1752590601847,1075.38,191.13,111185920,63320064,32932016,31.41,4659899
1752590601948,1075.67,191.13,111185920,63320064,32933968,31.41,4659899
1752590602048,1076.38,191.89,111185920,63320064,33078024,31.55,4660568
1752590602149,1080.35,192.06,111185920,63320064,33221616,31.68,4661244
1752590602250,1080.66,192.06,111185920,63320064,33223568,31.68,4661244
1752590602353,1087.59,192.93,111185920,63320064,33509296,31.96,4662589
1752590602453,1087.87,192.98,111185920,63320064,33511472,31.96,4670781
1752590602554,1089.66,192.98,111185920,63320064,33655544,32.10,4671449
1752590602654,1092.02,193.00,111185920,63320064,33799016,32.23,4672125
1752590602754,1092.37,193.00,111185920,63320064,33800968,32.24,4672125
1752590602854,1095.38,193.89,111185920,63320064,34086664,32.51,4673470
1752590602954,1095.65,193.94,111185920,63320064,34088616,32.51,4673470
1752590603055,1097.02,194.00,111185920,63320064,34232680,32.65,4674139
1752590603155,1099.24,194.00,111185920,63320064,34376152,32.78,4674815
1752590603256,1099.53,194.00,111185920,63320064,34378104,32.79,4674815
1752590603356,1103.90,194.81,111185920,63320064,34664088,33.06,4676160
1752590603456,1104.14,194.85,111185920,63320064,34666040,33.06,4676160
1752590603557,1118.16,194.85,111579136,63320064,34812032,33.20,4676828
1752590603657,1120.04,194.85,111710208,63320064,34955184,33.34,4677504
1752590603758,1120.37,194.85,111710208,63320064,34957168,33.34,4677504
1752590603858,1125.45,194.85,111710208,63320064,35242320,33.61,4687040
1752590603958,1125.94,194.85,111710208,63320064,35244272,33.61,4687040
1752590604059,1179.42,198.73,87023616,30138368,27397448,26.13,4637217
1752590604159,1181.79,198.80,87023616,30138368,27548704,26.27,4637893
1752590604260,1182.07,198.86,87023616,30138368,27550704,26.27,4637893
1752590604360,1185.02,199.67,87023616,30138368,27867592,26.58,4639238
1752590604461,1185.30,199.71,87023616,30138368,27869592,26.58,4639238
1752590604561,1187.82,199.71,87023616,30138368,28021392,26.72,4639907
1752590604662,1251.47,204.75,86224896,30138368,27321872,26.06,4637224
1752590604763,1251.81,204.75,86224896,30138368,27323920,26.06,4637224
1752590604864,1254.89,206.68,86487040,30138368,27624936,26.35,4638569
1752590604964,1254.89,207.07,86487040,30138368,27626912,26.35,4638569
1752590605064,1256.97,207.34,86618112,30138368,27778640,26.49,4639241
1752590605169,1260.06,207.51,86880256,30138368,27930048,26.64,4648109
1752590605269,1260.40,207.57,86880256,30138368,27932024,26.64,4648109
1752590605370,1268.62,207.57,87273472,33284096,27369160,26.10,4647432
1752590605471,1268.62,207.93,87273472,33284096,27371160,26.10,4647432
1752590605571,1271.32,208.23,87404544,33284096,27523176,26.25,4648101
1752590605671,1274.22,208.26,87666688,33284096,27674384,26.39,4648777
1752590605771,1274.22,208.61,87666688,33284096,27676360,26.39,4648777
1752590605870,1277.20,208.89,88059904,33284096,27975696,26.68,4650123
1752590605971,1277.20,209.17,88059904,33284096,27977672,26.68,4650123
