Pattern,Rate,Ground Truth (Fetching),Approximation,Accuracy (%),Error (%),Approx Results Count,Fetching Results Count
exponential growth,0.001,1.082894,1.041571,96.18,3.82,1,2
exponential growth,0.01,1.070679,1.028867,96.09,3.91,1,2
exponential growth,0.1,1.143182,1.062217,92.92,7.08,1,2
exponential growth,1,2.790806,1.4662074999999999,52.54,47.46,1,2
exponential growth,10,21012.846361,78.013501,0.37,99.63,1,2
exponential growth,100,1.7705752022380074e+43,1.8953688544601779,0.00,100.00,1,2
exponential decay,0.001,1.049072,1.0242865,97.64,2.36,2,2
exponential decay,0.01,1.065745,1.02854,96.51,3.49,1,2
exponential decay,0.1,1.037711,0.9858469999999999,95.00,5.00,2,2
exponential decay,1,1.021719,1.0108595,98.94,1.06,1,2
exponential decay,10,1.018028,0.0068330000000000005,0.67,99.33,2,2
exponential decay,100,1.036629,0,0.00,100.00,2,2
