timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1756128233782,151.43,37.74,99500032,58867712,35528984,33.88,3090909
1756128233883,151.55,37.82,99500032,58867712,35536664,33.89,3090965
1756128233984,151.80,37.91,99500032,58867712,35545824,33.90,3090965
1756128234085,152.02,37.98,99516416,58867712,35548864,33.90,3090965
1756128234186,152.28,38.08,99516416,58867712,35552080,33.91,3090965
1756128234288,152.79,38.19,99516416,58867712,35565576,33.92,3090965
1756128234390,153.27,38.36,99516416,58867712,35568416,33.92,3090965
1756128234490,153.61,38.49,99516416,58867712,35571176,33.92,3090965
1756128234590,154.04,38.61,99565568,58867712,35582528,33.93,3090965
1756128234692,154.54,38.75,99598336,58867712,35593216,33.94,3090965
1756128234792,154.86,38.88,99614720,58867712,35596192,33.95,3090965
1756128234892,155.41,39.01,99614720,58867712,35606800,33.96,3090965
1756128234994,155.76,39.18,99614720,58867712,35609272,33.96,3090965
1756128235094,156.04,39.29,99614720,58867712,35611712,33.96,3090965
1756128235196,156.39,39.47,99614720,58867712,35614152,33.96,3090965
1756128235296,156.72,39.65,99631104,58867712,35616592,33.97,3090965
1756128235398,157.05,39.81,99631104,58867712,35619032,33.97,3090965
1756128235497,157.35,39.99,99631104,58867712,35621472,33.97,3090965
1756128235597,157.45,40.04,75481088,58867712,35623912,33.97,3090965
1756128235698,164.42,41.46,79527936,58867712,36465312,34.78,3092300
1756128235799,164.61,41.53,79544320,58867712,36467776,34.78,3092300
1756128235899,169.80,42.48,79953920,58867712,36731904,35.03,3092969
1756128236000,173.51,43.20,80232448,58867712,36962080,35.25,3093634
1756128236101,173.84,43.35,80232448,58867712,36964544,35.25,3093634
1756128236201,183.15,44.64,80969728,58867712,37472624,35.74,3103160
1756128236303,183.45,44.81,80969728,58867712,37475088,35.74,3103160
1756128236407,192.64,48.50,91521024,57982976,30857568,29.43,3103829
1756128236509,196.84,49.02,92110848,57982976,31096472,29.66,3099805
1756128236610,197.06,49.12,92110848,57982976,31098936,29.66,3099805
1756128236710,211.56,50.81,93159424,57982976,31722528,30.25,3101139
1756128236811,211.83,50.93,93159424,57982976,31724992,30.26,3101139
1756128236912,215.90,51.74,93421568,57982976,31943856,30.46,3101808
1756128237012,219.32,52.48,93683712,58245120,32160520,30.67,3102473
1756128237112,219.66,52.63,93683712,58245120,32162984,30.67,3102473
1756128237214,228.42,53.87,94273536,58245120,32587456,31.08,3111999
1756128237314,228.67,54.00,94273536,58245120,32589584,31.08,3111999
1756128237416,234.38,54.75,94683136,58245120,32997160,31.47,3113333
1756128237517,234.58,54.86,94683136,58245120,32999288,31.47,3113333
1756128237618,234.88,55.02,94683136,58245120,33001392,31.47,3113333
1756128237720,242.67,56.47,95141888,58507264,33412368,31.86,3114667
1756128237820,242.99,56.66,95141888,58507264,33414416,31.87,3114667
