timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1756125395832,169.68,48.75,99762176,58605568,35653984,34.00,3090909
1756125395934,169.85,48.85,99778560,58605568,35661664,34.01,3090965
1756125396034,170.16,48.96,99778560,58605568,35670824,34.02,3090965
1756125396135,170.38,49.03,99778560,58605568,35673864,34.02,3090965
1756125396237,170.64,49.11,99778560,58605568,35677080,34.02,3090965
1756125396337,171.40,49.29,99811328,58605568,35690576,34.04,3090965
1756125396439,171.76,49.49,99811328,58605568,35693416,34.04,3090965
1756125396540,171.95,49.55,99827712,58605568,35696176,34.04,3090965
1756125396641,172.42,49.68,99827712,58605568,35707528,34.05,3090965
1756125396742,173.15,49.92,99827712,58605568,35718216,34.06,3090965
1756125396844,173.62,50.16,99844096,58605568,35721192,34.07,3090965
1756125396944,174.43,50.47,99860480,58605568,35731800,34.08,3090965
1756125397045,174.80,50.67,99860480,58605568,35734272,34.08,3090965
1756125397145,175.14,50.91,99876864,58605568,35736712,34.08,3090965
1756125397245,175.49,51.14,99876864,58605568,35739152,34.08,3090965
1756125397347,175.81,51.30,99876864,58605568,35741592,34.09,3090965
1756125397447,176.11,51.43,99876864,58605568,35744032,34.09,3090965
1756125397548,176.31,51.56,99876864,58605568,35746472,34.09,3090965
1756125397651,181.08,52.09,100335616,58605568,36426312,34.74,3091635
1756125397753,182.78,52.27,100614144,58867712,36588032,34.89,3092300
1756125397855,186.33,52.69,100892672,58867712,36851648,35.14,3092969
1756125397956,188.43,53.12,101072896,58867712,37081824,35.36,3093634
1756125398057,188.63,53.20,101072896,58867712,37084296,35.37,3093634
1756125398158,194.35,54.29,102449152,57982976,30818040,29.39,3094968
1756125398259,194.44,54.33,94027776,57982976,30820512,29.39,3094968
1756125398359,197.14,54.59,93716480,57982976,31061792,29.62,3099809
1756125398460,200.46,54.94,94126080,57982976,31294296,29.84,3100474
1756125398560,200.68,55.01,94126080,57982976,31296760,29.85,3100474
1756125398660,213.43,56.62,95551488,57982976,31920344,30.44,3101808
1756125398762,213.61,56.70,95567872,57982976,31922808,30.44,3101808
1756125398862,215.56,57.05,95764480,57982976,32141152,30.65,3102477
1756125398963,218.09,57.46,94765056,58245120,32357256,30.86,3103142
1756125399064,218.38,57.59,94765056,58245120,32359720,30.86,3103142
1756125399164,222.96,58.16,95141888,58245120,32782544,31.26,3104476
1756125399266,223.15,58.27,95141888,58245120,32785008,31.27,3104476
1756125399367,226.28,58.81,95338496,58245120,32999480,31.47,3113337
1756125399468,228.60,59.31,95584256,58245120,33206088,31.67,3114002
1756125399570,228.90,59.44,95584256,58245120,33208552,31.67,3114002
1756125399670,233.98,60.43,96092160,58507264,33630168,32.07,3115336
1756125399772,234.23,60.57,96092160,58507264,33632552,32.07,3115336
1756125399872,239.69,61.95,97501184,58769408,33862496,32.29,3116005
1756125399973,242.28,62.44,97484800,58769408,34065264,32.49,3116670
1756125400075,242.62,62.64,97484800,58769408,34067648,32.49,3116670
1756125400175,248.78,63.78,97927168,58769408,34494856,32.90,3118006
1756125400275,249.00,63.88,97927168,58769408,34497240,32.90,3118006
1756125400377,250.69,64.14,98123776,58769408,34700408,33.09,3126868
1756125400478,252.82,64.63,98320384,58769408,34901536,33.28,3127534
1756125400580,253.12,64.83,98320384,58769408,34903920,33.29,3127534
1756125400680,261.86,66.53,99106816,58769408,35332024,33.70,3128870
1756125400781,262.16,66.67,99106816,58769408,35334408,33.70,3128870
1756125400883,265.08,67.33,99303424,59031552,35539816,33.89,3129540
1756125400983,267.93,68.00,99483648,59031552,35740528,34.08,3130206
1756125401084,268.26,68.22,99483648,59031552,35742912,34.09,3130206
1756125401185,275.32,69.48,99926016,59031552,36152352,34.48,3131542
1756125401287,275.60,69.62,99926016,59031552,36154736,34.48,3131542
1756125401389,277.68,69.95,100122624,59031552,36361712,34.68,3140404
1756125401489,278.54,70.16,100302848,59031552,36562496,34.87,3141070
1756125401590,278.71,70.23,100302848,59031552,36564888,34.87,3141070
1756125401691,287.10,71.35,100958208,59031552,36972664,35.26,3142406
1756125401793,288.78,71.57,100974592,59031552,36976480,35.26,3142406
1756125401893,313.70,79.89,112934912,99926016,31814640,30.34,3099140
1756125401995,343.56,82.31,113655808,99663872,30658992,29.24,3099806
1756125402096,343.93,82.53,113655808,99663872,30661216,29.24,3099806
1756125402196,349.06,83.24,113672192,99663872,31064992,29.63,3101142
1756125402297,349.37,83.41,113672192,99663872,31067048,29.63,3101142
1756125402398,351.80,83.78,113672192,99663872,31264960,29.82,3110004
1756125402499,354.13,84.11,113672192,99663872,31460640,30.00,3110670
1756125402600,354.43,84.25,113672192,99663872,31462696,30.01,3110670
1756125402702,361.92,85.17,113672192,99663872,31867200,30.39,3112006
1756125402801,362.23,85.31,113672192,99663872,31869256,30.39,3112006
1756125402903,367.80,86.14,114130944,99663872,32103776,30.62,3112676
1756125403002,371.21,86.68,114147328,99663872,32311720,30.81,3113342
1756125403104,371.46,86.81,113967104,99663872,32313776,30.82,3113342
1756125403205,373.83,87.28,113999872,99926016,32711800,31.20,3114678
1756125403306,373.95,87.36,113999872,99926016,32713856,31.20,3114678
1756125403408,375.01,87.51,114016256,99926016,32910688,31.39,3123540
1756125403509,375.81,87.65,114016256,99926016,33104928,31.57,3124206
1756125403610,375.97,87.72,114016256,99926016,33106984,31.57,3124206
1756125403710,381.99,88.71,114245632,99926016,33521128,31.97,3125542
1756125403811,382.26,88.81,114245632,99926016,33523184,31.97,3125542
