timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1756127731643,150.80,37.25,98697216,58867712,35229880,33.60,3090909
1756127731744,151.01,37.35,98697216,58867712,35237560,33.61,3090965
1756127731844,151.33,37.49,98713600,58867712,35246936,33.61,3090965
1756127731945,151.48,37.54,98713600,58867712,35250432,33.62,3090965
1756127732046,151.66,37.59,98713600,58867712,35253368,33.62,3090965
1756127732147,152.22,37.71,98713600,58867712,35268496,33.63,3090965
1756127732247,152.56,37.83,98729984,58867712,35271336,33.64,3090965
1756127732348,153.00,38.01,98729984,58867712,35274432,33.64,3090965
1756127732449,153.59,38.18,98729984,58867712,35284856,33.65,3090965
1756127732550,154.35,38.42,98762752,58867712,35296296,33.66,3090965
1756127732651,154.81,38.66,98779136,58867712,35299272,33.66,3090965
1756127732752,155.50,38.84,98779136,58867712,35307696,33.67,3090965
1756127732853,155.88,39.05,98779136,58867712,35310168,33.67,3090965
1756127732954,156.25,39.24,98795520,58867712,35312608,33.68,3090965
1756127733055,156.61,39.39,98795520,58867712,35315048,33.68,3090965
1756127733156,156.90,39.56,98795520,58867712,35317488,33.68,3090965
1756127733257,157.17,39.71,98795520,58867712,35319928,33.68,3090965
1756127733357,157.40,39.86,98795520,58867712,35322368,33.69,3090965
1756127733457,157.47,39.92,98795520,58867712,35324808,33.69,3090965
1756127733559,163.18,40.34,99614720,59129856,36167816,34.49,3092300
1756127733660,163.38,40.41,99614720,59129856,36170280,34.49,3092300
1756127733761,166.86,40.75,100073472,59129856,36660328,34.96,3093634
1756127733862,167.08,40.83,100073472,59129856,36662800,34.96,3093634
1756127733963,172.78,41.62,100646912,59129856,36954872,35.24,3094303
1756127734064,176.43,42.22,100909056,59129856,37171216,35.45,3103160
1756127734164,176.77,42.40,100909056,59129856,37173688,35.45,3103160
1756127734264,195.47,45.32,102694912,58245120,30870488,29.44,3104494
1756127734365,195.75,45.44,102694912,58245120,30872960,29.44,3104494
1756127734467,200.60,46.03,103022592,58507264,31252320,29.80,3099809
1756127734568,202.40,46.18,103235584,58507264,31497560,30.04,3100474
1756127734669,202.44,46.20,103235584,58507264,31500032,30.04,3100474
1756127734770,203.93,46.36,103628800,58507264,31930584,30.45,3101808
1756127734871,203.97,46.39,103645184,58507264,31933056,30.45,3101808
1756127734971,205.56,46.56,97157120,58507264,32355360,30.86,3111334
1756127735073,205.63,46.59,94568448,58507264,32357824,30.86,3111334
1756127735174,205.72,46.66,93978624,58507264,32360264,30.86,3111334
1756127735274,208.06,47.15,93945856,58507264,32777888,31.26,3112668
1756127735376,208.14,47.18,93962240,58507264,32780352,31.26,3112668
1756127735476,210.28,47.46,94355456,58507264,33200504,31.66,3114002
1756127735577,210.42,47.52,94355456,58507264,33202888,31.66,3114002
1756127735678,210.67,47.65,94355456,58507264,33205272,31.67,3114002
1756127735779,219.56,48.96,95944704,59031552,33633512,32.08,3115336
1756127735880,219.82,49.08,95944704,59031552,33635896,32.08,3115336
1756127735980,224.26,49.80,96321536,59031552,34063616,32.49,3124864
1756127736081,224.42,49.90,96321536,59031552,34066000,32.49,3124864
1756127736182,224.70,50.04,96321536,59031552,34068360,32.49,3124864
1756127736283,229.77,50.69,96714752,59031552,34471304,32.87,3126200
1756127736384,229.98,50.80,96714752,59031552,34473688,32.88,3126200
1756127736484,237.14,51.75,97845248,59031552,34900720,33.28,3127538
1756127736585,237.33,51.88,97845248,59031552,34903104,33.29,3127538
1756127736686,237.57,52.03,97845248,59031552,34905464,33.29,3127538
1756127736787,241.19,52.73,98222080,59031552,35305600,33.67,3128876
1756127736889,241.44,52.89,98222080,59031552,35307984,33.67,3128876
1756127736989,247.06,53.70,98598912,59031552,35717024,34.06,3138406
1756127737091,247.30,53.84,98598912,59031552,35719408,34.06,3138406
1756127737192,247.56,53.98,98598912,59031552,35721768,34.07,3138406
1756127737293,252.13,54.81,98975744,59031552,36126328,34.45,3139744
1756127737394,252.39,54.99,98992128,59031552,36128712,34.46,3139744
1756127737495,257.40,55.78,99401728,59031552,36532048,34.84,3141082
1756127737596,257.65,55.98,99401728,59031552,36534432,34.84,3141082
1756127737697,257.96,56.15,99401728,59031552,36536792,34.84,3141082
